,month,city,state,aqi,missing_aqi
1293,January,mahad,maharashtra,108.27586206896552,0.06451612903225806
1294,January,maihar,madhya pradesh,73.6774193548387,0.0
1295,January,malegaon,maharashtra,134.90322580645162,0.0
1296,January,mandi_gobindgarh,punjab,182.9655172413793,0.06451612903225806
1297,January,mandideep,madhya pradesh,153.74074074074073,0.12903225806451613
1298,January,mandikhera,haryana,121.10714285714286,0.0967741935483871
1299,January,manesar,haryana,207.86206896551724,0.06451612903225806
1300,January,mangalore,karnataka,76.78571428571429,0.0967741935483871
1301,January,manguraha,bihar,112.94736842105263,0.3870967741935484
1302,January,meerut,uttar pradesh,214.58064516129033,0.0
1303,January,milupara,chhattisgarh,66.63333333333334,0.03225806451612903
1304,January,moradabad,uttar pradesh,137.38709677419354,0.0
1305,January,motihari,bihar,176.5,0.03225806451612903
1306,January,mumbai,maharashtra,116.25806451612904,0.0
1307,January,munger,bihar,185.33333333333334,0.03225806451612903
1308,January,muzaffarnagar,uttar pradesh,276.7741935483871,0.0
1309,January,muzaffarpur,bihar,249.48387096774192,0.0
1310,January,mysuru,karnataka,63.29032258064516,0.0
1311,January,nagaon,assam,205.93103448275863,0.06451612903225806
1312,January,nagapattinam,tamil nadu,,1.0
1313,January,nagaur,rajasthan,180.66666666666666,0.03225806451612903
1314,January,nagpur,maharashtra,164.3548387096774,0.0
1315,January,naharlagun,arunachal pradesh,89.45454545454545,0.2903225806451613
1316,January,nalbari,assam,265.5,0.03225806451612903
1317,January,nanded,maharashtra,137.1851851851852,0.12903225806451613
1318,January,nandesari,gujarat,19.0,0.967741935483871
1319,January,narnaul,haryana,110.53571428571429,0.0967741935483871
1320,January,nashik,maharashtra,117.45161290322581,0.0
1321,January,navi_mumbai,maharashtra,156.6451612903226,0.0
1322,January,nayagarh,odisha,163.92,0.1935483870967742
1323,January,noida,uttar pradesh,306.4193548387097,0.0
1324,January,ooty,tamil nadu,68.08695652173913,0.25806451612903225
1325,January,pali,rajasthan,201.27586206896552,0.06451612903225806
1326,January,palkalaiperur,tamil nadu,49.48148148148148,0.12903225806451613
1327,January,palwal,haryana,113.28,0.1935483870967742
1328,January,panchkula,haryana,181.93103448275863,0.06451612903225806
1329,January,panipat,haryana,144.125,0.22580645161290322
1330,January,parbhani,maharashtra,123.74193548387096,0.0
1331,January,pathardih,jharkhand,210.07142857142858,0.5483870967741935
1332,January,patiala,punjab,139.2,0.03225806451612903
1333,January,patna,bihar,283.7096774193548,0.0
1334,January,perundurai,tamil nadu,,1.0
1335,January,pithampur,madhya pradesh,155.58064516129033,0.0
1336,January,pratapgarh,rajasthan,132.53333333333333,0.03225806451612903
1337,January,prayagraj,uttar pradesh,131.09677419354838,0.0
1338,January,puducherry,puducherry,75.62068965517241,0.06451612903225806
1339,January,pudukottai,tamil nadu,,1.0
1340,January,pune,maharashtra,128.7741935483871,0.0
1341,January,purnia,bihar,222.6,0.03225806451612903
1342,January,raichur,karnataka,112.1875,0.4838709677419355
1343,January,raipur,chhattisgarh,99.80645161290323,0.0
1344,January,rairangpur,odisha,182.93103448275863,0.06451612903225806
1345,January,rajamahendravaram,andhra pradesh,188.6153846153846,0.16129032258064516
1346,January,rajgir,bihar,304.6666666666667,0.03225806451612903
1347,January,rajsamand,rajasthan,154.0,0.0967741935483871
1348,January,ramanagara,karnataka,70.3103448275862,0.06451612903225806
1349,January,ramanathapuram,tamil nadu,59.57692307692308,0.16129032258064516
1350,January,ranipet,tamil nadu,,1.0
1351,January,ratlam,madhya pradesh,126.6774193548387,0.0
1352,January,rishikesh,uttarakhand,116.96428571428571,0.0967741935483871
1353,January,rohtak,haryana,214.29032258064515,0.0
1354,January,rourkela,odisha,160.6451612903226,0.0
1355,January,rupnagar,punjab,185.41379310344828,0.06451612903225806
1356,January,sagar,madhya pradesh,116.06451612903226,0.0
1357,January,saharsa,bihar,335.2413793103448,0.06451612903225806
1358,January,salem,tamil nadu,85.0952380952381,0.3225806451612903
1359,January,samastipur,bihar,179.08,0.1935483870967742
1360,January,sangli,maharashtra,139.9,0.03225806451612903
1361,January,sasaram,bihar,218.60714285714286,0.0967741935483871
1362,January,satna,madhya pradesh,70.16129032258064,0.0
1363,January,sawai_madhopur,rajasthan,149.63333333333333,0.03225806451612903
1364,January,shillong,meghalaya,72.41935483870968,0.0
1365,January,shivamogga,karnataka,64.3225806451613,0.0
1366,January,sikar,rajasthan,238.43333333333334,0.03225806451612903
1367,January,silchar,assam,49.2962962962963,0.12903225806451613
1368,January,siliguri,west bengal,146.53846153846155,0.16129032258064516
1369,January,singrauli,madhya pradesh,214.72413793103448,0.06451612903225806
1370,January,sirohi,rajasthan,116.06451612903226,0.0
1371,January,sirsa,haryana,113.6896551724138,0.06451612903225806
1372,January,sivasagar,assam,55.645161290322584,0.0
1373,January,siwan,bihar,165.17857142857142,0.0967741935483871
1374,January,solapur,maharashtra,120.16129032258064,0.0
1375,January,sonipat,haryana,228.03225806451613,0.0
1376,January,sri_ganganagar,rajasthan,310.258064516129,0.0
1377,January,srinagar,jammu and kashmir,,1.0
1378,January,suakati,odisha,181.82142857142858,0.0967741935483871
1379,January,surat,gujarat,69.09677419354838,0.0
1380,January,talcher,odisha,239.70967741935485,0.0
1381,January,tensa,odisha,111.42857142857143,0.0967741935483871
1382,January,thane,maharashtra,160.29032258064515,0.0
1383,January,thanjavur,tamil nadu,,1.0
1384,January,thiruvananthapuram,kerala,70.45161290322581,0.0
1385,January,thoothukudi,tamil nadu,51.74193548387097,0.0
1386,January,thrissur,kerala,58.208333333333336,0.22580645161290322
1387,January,tiruchirappalli,tamil nadu,69.8,0.6774193548387096
1388,January,tirunelveli,tamil nadu,,1.0
1389,January,tirupati,andhra pradesh,65.61290322580645,0.0
1390,January,tirupur,tamil nadu,74.48387096774194,0.0
1391,January,tonk,rajasthan,191.78571428571428,0.0967741935483871
1392,January,tumakuru,karnataka,125.1304347826087,0.25806451612903225
1393,January,tumidih,chhattisgarh,94.875,0.4838709677419355
1394,January,udaipur,rajasthan,146.74193548387098,0.0
1395,January,udupi,karnataka,47.26086956521739,0.25806451612903225
1396,January,ujjain,madhya pradesh,173.16129032258064,0.0
1397,January,ulhasnagar,maharashtra,200.76666666666668,0.03225806451612903
1398,January,vapi,gujarat,225.55555555555554,0.12903225806451613
1399,January,varanasi,uttar pradesh,69.45161290322581,0.0
1400,January,vatva,gujarat,99.65517241379311,0.06451612903225806
1401,January,vellore,tamil nadu,93.23076923076923,0.5806451612903226
1402,January,vijayapura,karnataka,53.1,0.03225806451612903
1403,January,vijayawada,andhra pradesh,76.33333333333333,0.5161290322580645
1404,January,virar,maharashtra,128.06896551724137,0.06451612903225806
1405,January,virudhunagar,tamil nadu,61.1578947368421,0.3870967741935484
1406,January,visakhapatnam,andhra pradesh,193.60714285714286,0.0967741935483871
1407,January,vrindavan,uttar pradesh,77.64285714285714,0.0967741935483871
1408,January,yadgir,karnataka,90.03448275862068,0.06451612903225806
1409,January,yamunanagar,haryana,146.1,0.03225806451612903
