,Name,Location,District,State,Region,Coordinates,Unit capacities,Capacity(MW),Operator,Sector
128,NTPL Thermal Power Station,Thoothukudi,Thoothukudi,Tamil Nadu,Southern,8°45′32″N 78°10′54.8″E﻿ / ﻿8.75889°N 78.181889°E﻿ / 8.75889; 78.181889﻿ (NTPL Thermal Power Station),2 x 500,"1,000",NLC & TNEB,State & central
129,JSW Vijayanagar Power Station,Toranagallu,Bellary,Karnataka,Southern,15°10′54″N 76°40′36″E﻿ / ﻿15.18167°N 76.67667°E﻿ / 15.18167; 76.67667﻿ (JSW Power Plant),"2 x 130, 2 x 300",860,JSW Energy,Private
130,Mettur Thermal Power Station,Mettur,Salem,Tamil Nadu,Southern,11°46′19″N 77°48′49″E﻿ / ﻿11.77194°N 77.81361°E﻿ / 11.77194; 77.81361﻿ (Mettur Thermal Power Station),"4 x 210, 1 x 600","1,440",TNEB,State
131,North Chennai Thermal Power Station,Athipattu,Chennai,Tamil Nadu,Southern,13°15′12″N 80°19′41″E﻿ / ﻿13.25333°N 80.32806°E﻿ / 13.25333; 80.32806﻿ (North Chennai Thermal Power Station),"3 x 210, 2 x 600","1,830",TNEB,State
132,Mutiara Thermal Power Plant,Thoothukudi,Thoothukudi,Tamil Nadu,Southern,8°54′52″N 78°08′40.2″E﻿ / ﻿8.91444°N 78.144500°E﻿ / 8.91444; 78.144500﻿ (Mutiara Thermal Power Plant),2 x 600,1200,Coastal Energen Private Limited (CEPL),Private
133,Cuddalore IL&FS Thermal Power Station,Cuddalore,Cuddalore,Tamil Nadu,Southern,,2 x 600,1200,IL&FS Tamil Nadu Power Company Limited (ITPCL),Private
134,Simhapuri Thermal Power Station,Krishnapatnam,Nellore,Andhra Pradesh,Southern,14°12′35″N 80°05′23″E﻿ / ﻿14.20972°N 80.08972°E﻿ / 14.20972; 80.08972﻿ (Simhapuri Thermal Power Station),4 x 150,600,Simhapuri Energy Limited,Private
135,Hinduja Thermal Power Station,Devada,Visakhapatnam,Andhra Pradesh,Southern,17°33′45″N 83°8′15″E﻿ / ﻿17.56250°N 83.13750°E﻿ / 17.56250; 83.13750﻿ (Hinduja Thermal Power Station),1 x 525,525,Hinduja National Power Corporation Limited,Private
136,Kakatiya Thermal Power Station,Chelpur,Warangal,Telangana,Southern,18°23′02″N 79°49′42″E﻿ / ﻿18.38389°N 79.82833°E﻿ / 18.38389; 79.82833﻿ (Kakatiya Thermal Power Station),1 x 500,500,TSGENCO,State
137,Bellary Thermal Power station,Kudatini,Bellary,Karnataka,Southern,15°11′37″N 76°43′16″E﻿ / ﻿15.19361°N 76.72111°E﻿ / 15.19361; 76.72111﻿ (Bellary Thermal Power Station),2 x 500 1x700,1700,KPCL,State
138,Yermarus Thermal Power Station,Yermarus,Raichur,Karnataka,Southern,16°17′39″N 77°21′19″E﻿ / ﻿16.29417°N 77.35528°E﻿ / 16.29417; 77.35528﻿ (Yermarus Thermal Power Station),2 x 800,1600,KPCL,State
139,Ennore Thermal Power Station,Ennore,Chennai,Tamil Nadu,Southern,13°12′07″N 80°18′40″E﻿ / ﻿13.20194°N 80.31111°E﻿ / 13.20194; 80.31111﻿ (Ennore Thermal Power Station),"2 x 60$, 3 x 110$",,TNEB,State
140,Ind-Barath Thermal Power Plant,Tuticorin,Tuticorin,Tamil Nadu,Southern,,2 x 150,300,Ind-Barath Power Infra Limited,Private
141,Meenakshi Power Plant,Krishnapatnam,Nellore,Andhra Pradesh,Southern,14°12′57″N 80°05′19″E﻿ / ﻿14.21583°N 80.08861°E﻿ / 14.21583; 80.08861﻿ (Meenakshi Thermal Power Station),2 x 150,300,MEPL,Private
142,Neyveli Zero Lignite Power Station,Neyveli,Cuddalore,Tamil Nadu,Southern,11°32′33″N 79°24′57″E﻿ / ﻿11.54250°N 79.41583°E﻿ / 11.54250; 79.41583﻿ (Neyveli Zero Unit),1 x 250,250,TAQA,Private
143,Ramagundam B Thermal Power Station,Ramagundam,Karimnagar,Telangana,Southern,18°43′31″N 79°30′47″E﻿ / ﻿18.72528°N 79.51306°E﻿ / 18.72528; 79.51306﻿ (Ramagundam B Thermal Power Station),1 x 62.5,62.5,TSGENCO,State
144,,,,,,,,,,
145,,,,,,,,,,
