,State,City,City Population,State Population,State Area (sq. km),Forest Area(sq. km in state),Registered Vehicles in City,Registered Vehicles in State,Farming Area (sq. km in state),Farmers (in state),Factories (in state),Shipping Cargo Volume ( million metric tons in state),Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Coal Capacity (Max Electricity ouput in MW),Gas Capacity (Max Electricity ouput in MW),aqi,missing_aqi,AQI Category
108,karnataka,hassan,128531,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,293.96,966.82,62.71,2.74,0.08,36.67,146.15,7080.0,0.0,80.6,0.3548387096774194,Satisfactory
109,karnataka,haveri,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,295.65,983.56,57.19,2.92,0.0,21.49,169.77,7080.0,0.0,92.46153846153847,0.16129032258064516,Satisfactory
110,haryana,hisar,296436,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.94,1010.62,62.53,2.34,0.02,20.47,218.54,4065.0,430.0,166.06896551724137,0.06451612903225806,Moderate
112,west bengal,howrah,,99723000.0,88752.0,16832.0,,10915952.0,600.6,10188842.0,0.0,65.66,291.84,1015.68,72.68,2.16,0.01,20.15,198.69,12145.0,80.0,245.09677419354838,0.0,Poor
113,karnataka,hubballi,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,295.65,983.56,57.19,2.92,0.0,21.49,169.77,7080.0,0.0,83.54838709677419,0.0,Satisfactory
114,telangana,hyderabad,3597816,38317000.0,112077.0,21214.0,250988,12906426.0,526.1,5915151.0,15056.0,0.0,295.4,1012.11,63.47,2.55,0.01,24.22,138.0,6162.5,35.0,92.61290322580645,0.0,Satisfactory
115,manipur,imphal,223523,3260000.0,22327.0,16598.0,,361970.0,183.70000000000002,114918.0,952.0,0.0,285.91,979.98,75.18,1.25,0.01,26.22,92.31,0.0,0.0,110.25806451612904,0.0,Moderate
116,madhya pradesh,indore,1837041,87954000.0,308252.0,77493.0,170904,17923162.0,515.3,12192267.0,6895.0,0.0,290.4,996.88,59.84,2.46,0.0,12.72,230.38,15720.0,0.0,126.0,0.0,Moderate
117,madhya pradesh,jabalpur,1030168,87954000.0,308252.0,77493.0,57466,17923162.0,515.3,12192267.0,6895.0,0.0,289.63,1001.01,63.01,2.08,0.01,16.84,219.15,15720.0,0.0,162.61290322580646,0.0,Moderate
118,rajasthan,jaipur,2711758,82188000.0,342239.0,16655.0,252443,19236010.0,537.4,4939664.0,12169.0,0.0,288.26,1014.19,62.41,1.99,0.0,19.91,180.23,4955.0,856.8,231.83870967741936,0.0,Poor
119,rajasthan,jaisalmer,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,288.53,1018.04,54.28,2.55,0.01,15.87,220.38,4955.0,856.8,205.25806451612902,0.0,Poor
