,City,Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Latitude,Longitude
154,sri_ganganagar,286.69,1013.77,60.68,2.06,0.01,22.09,194.85,29.9270556,73.8761519
155,pali,289.95,1009.66,46.29,2.55,0.0,9.66,272.62,25.7682376,73.3275135
156,kota,289.01,1002.57,58.11,1.95,0.01,11.46,259.54,25.1737019,75.8574194
157,dholpur,287.62,1013.89,67.55,2.12,0.02,15.14,237.85,26.7010642,77.896749
158,dungarpur,288.21,990.47,53.6,2.13,0.0,11.04,252.0,23.8538893,73.7087177
159,tonk,288.47,1004.57,57.41,2.15,0.01,11.92,260.69,26.1612436,75.7858103
160,churu,287.51,1005.58,50.94,2.38,0.01,17.37,232.15,28.298335,74.9679308
161,udaipur,288.21,990.47,53.6,2.13,0.0,11.04,252.0,24.578721,73.6862571
162,chandigarh,285.62,998.69,67.12,2.3,0.04,26.4,196.92,30.72984395,76.78414567016054
163,thiruvananthapuram,301.11,1010.77,72.94,2.04,0.02,30.08,24.23,8.4882267,76.947551
164,thrissur,300.02,1011.61,67.84,2.58,0.02,36.4,103.38,10.5256264,76.2132542
165,kozhikode,299.88,1011.12,72.55,2.45,0.01,31.97,89.69,11.2450558,75.7754716
166,kollam,300.37,1012.29,75.48,2.56,0.03,37.66,41.77,8.8879509,76.5955013
167,kannur,299.88,1011.12,72.55,2.45,0.01,31.97,89.69,11.8763836,75.3737973
168,eloor,299.87,1013.71,72.9,2.4,0.08,37.15,99.62,10.0669964,76.2989276
169,ernakulam,299.87,1013.71,72.9,2.4,0.08,37.15,99.62,9.98408,76.2741457
170,kochi,299.87,1013.71,72.9,2.4,0.08,37.15,99.62,9.931308,76.2674136
171,bhilai,292.94,1004.49,56.61,1.9,0.01,16.15,213.54,21.2120677,81.3732849
172,bilaspur,291.97,1003.09,57.06,1.92,0.01,15.45,222.85,22.0785627,82.1476475
173,raipur,292.97,1004.68,60.43,1.83,0.01,16.2,205.92,21.2380912,81.6336993
174,korba,291.41,1002.15,55.51,1.86,0.01,14.74,222.0,22.3547468,82.7110855
175,aizawl,287.19,991.66,76.38,1.07,0.02,23.92,172.62,23.7435236,92.7382905
176,silchar,289.83,1008.93,72.58,1.3,0.07,21.34,224.0,24.829588,92.797148
177,nalbari,290.29,1013.53,79.85,1.48,0.01,35.35,85.77,26.445568,91.4354335
178,guwahati,290.29,1013.53,79.85,1.48,0.01,35.35,85.77,26.1805978,91.753943
179,nagaon,290.29,1013.53,79.85,1.48,0.01,35.35,85.77,26.3482238,92.6858215
180,sivasagar,288.9,1011.15,71.49,1.42,0.02,32.07,98.92,26.9834936,94.6394226
181,shillong,286.19,985.57,76.43,1.17,0.02,32.82,98.92,25.5760446,91.8825282
182,tiruchirappalli,298.82,1012.72,73.27,3.15,0.01,33.63,29.92,10.804973,78.6870296
183,nagapattinam,297.51,1016.84,76.99,3.71,0.03,41.36,91.08,10.7647952,79.8430779
184,coimbatore,297.35,1001.67,66.4,2.33,0.02,35.91,55.38,11.0018115,76.9628425
185,vellore,295.67,1001.66,74.45,2.29,0.02,36.89,127.38,12.9071753,79.1309695
186,ranipet,295.67,1001.66,74.45,2.29,0.02,36.89,127.38,12.9292452,79.3321712
187,dindigul,297.25,999.75,72.15,1.94,0.03,42.37,46.31,10.365646,77.9693256
188,ooty,297.35,1001.67,66.4,2.33,0.02,35.91,55.38,11.4126769,76.7030504
189,kanchipuram,298.13,1013.29,75.01,2.96,0.01,38.37,45.31,12.836393,79.7053304
190,tirunelveli,298.18,1003.22,73.46,2.71,0.05,42.59,90.15,8.722388,77.710247
191,chennai,299.01,1014.51,76.97,2.98,0.01,33.31,29.62,13.0836939,80.270186
192,perundurai,297.24,1001.74,68.92,1.93,0.02,39.99,109.38,11.2764669,77.5836267
193,thanjavur,298.47,1013.71,76.1,3.31,0.02,40.87,40.08,10.7860267,79.1381497
194,cuddalore,298.46,1017.6,82.38,4.52,0.03,40.23,97.31,11.7564329,79.7634644
